no,eclipse,ours
1688,115,785
1689,118,2520
1690,121,547
1691,107,260
1692,103,364
1693,102,404
1694,107,196
1695,103,256
1696,119,261
1697,123,260
1698,117,1860
1699,102,138
1700,97,580
1701,92,128
1702,104,265
1703,85,150
1704,88,208
1705,88,92
1706,88,340
1707,86,329
1708,84,95
1709,89,94
1710,89,260
1711,91,215
1714,127,168
1715,97,79
1716,96,255
1717,101,111
1718,103,1163
1719,99,914
1722,123,11014
1724,101,11752
1725,95,6024
1730,118,5660
1731,80,5734
1732,81,175
1733,118,78
1734,119,82
1735,74,87
1736,91,90
1737,107,174
1738,87,181
1739,92,53
1740,78,41
1741,74,376
1742,95,103
1743,108,360
1744,95,63
1745,84,380
1746,97,62
1747,74,78
1748,88,286
1749,96,202
1750,110,52
1751,90,38
1752,95,38
1753,79,39
1754,81,52
1755,74,44
1756,107,45
1757,76,39
1758,79,55
1759,90,385
1760,74,368
1766,94,117
1768,126,376
1771,177,251
1772,88,120
1775,97,120
1776,94,334
1777,99,159
1779,104,154
1781,95,95
1782,100,119
1784,96,38
1787,105,51
1791,124,177
1792,117,612
1793,87,304
1794,102,518
1795,115,493
1796,107,809
1797,122,306
1798,117,1188
1799,123,716
1800,127,905
1801,102,929
1802,123,580
1803,89,1010
1804,104,1034
1805,102,634
1806,96,1228
1807,118,1113
1808,91,431
1809,91,850
1810,108,845
1811,124,22
1812,119,980
1813,122,1000
1814,121,672
1817,114,22
1820,134,670
1823,129,1246
1824,116,177
1831,125,674
1833,117,1252
1834,113,252
1835,130,620
1842,120,20
1843,128,257
1849,151,1191
1850,119,21
1851,148,20
1852,152,23
1857,125,3206
1858,134,102
1859,126,211
1860,95,64
1862,120,181
1863,102,13
1864,123,102
1865,120,139
1867,115,125
1868,108,70
1870,115,14
1873,101,13
1874,106,15
1875,118,13
1876,118,370
1877,118,17
1879,126,226
1884,123,245
1885,104,16
1886,107,17
1887,88,16
1889,135,16
1890,88,17
1891,121,134
1892,135,28
1893,120,659
1894,133,441
1895,145,205
1896,144,175
1897,173,225
1898,137,167
1899,133,166
1900,126,126
1901,160,169
1902,133,339
1903,158,197
1904,142,184
1905,133,377
1906,124,124
1907,141,170
1908,126,175
1909,147,293
1910,134,208
1911,128,196
1912,136,315
1913,139,316
1914,130,310
1915,140,169
1916,146,125
1917,141,123
1918,140,300
1919,131,196
1920,129,199
1921,139,416
1922,151,239
1923,149,275
1924,145,173
1925,144,201
1926,129,200
1927,145,144
1928,132,196
1929,153,144
1930,136,441
1931,139,280
1933,147,178
1935,135,250
1936,137,395
1937,147,432
1938,122,403
1939,141,418
1940,136,760
1941,146,142
1942,125,232
1943,139,297
1944,143,522
1945,144,235
1946,139,240
1947,130,299
1948,129,339
1949,153,235
1950,148,460
1951,150,334
1952,140,145
1953,160,199
1956,136,142
1958,149,246
1960,134,176
1961,144,199
1962,185,402
1967,137,395
1968,137,187
1969,142,305
1970,136,168
1971,144,143
1972,143,142
1973,129,138
1974,146,145
1975,152,166
1976,152,403
1977,157,169
1979,127,368
1980,143,393
1981,148,420
1982,139,408
1983,150,733
1984,145,181
1985,133,231
1986,144,302
1987,138,332
1988,143,277
1989,143,190
1990,161,449
1991,141,324
1992,123,244
1993,149,143
1994,154,140
1995,137,192
1996,157,170
1997,156,195
2002,103,534
2003,110,552
2004,116,149
2005,101,221
2006,152,129
2007,136,103
2008,170,352
2009,147,268
2010,136,321
2011,144,333
2012,151,220
2013,144,453
2014,135,377
2015,133,416
2016,145,472
2017,128,305
2018,144,267
2019,135,283
2020,148,334
2021,142,255
2022,147,244
2023,136,215
2024,137,119
2025,123,109
2026,125,237
2027,145,98
2028,139,99
2029,150,354
2030,147,350
2031,134,227
2033,145,15
2034,105,15
2035,122,16
2036,157,16
2037,132,232
2038,131,15
2039,102,16
2040,104,322
2041,107,192
2042,105,132
2047,122,234
2048,111,253
2049,112,16
2050,106,17
2051,112,16
2052,113,200
2055,119,15
2056,104,15
2057,124,16
2058,129,16
2061,105,15
2062,128,16
2063,121,16
2065,119,16
2066,124,15
2068,124,16
2069,111,15
2070,129,198
2071,106,91
2072,112,13
2073,122,13
2074,108,13
2076,117,14
2077,104,13
2078,114,75
2079,103,92
2080,101,13
2082,117,12
2083,108,13
2085,120,66
2087,92,13
2088,86,148
2089,93,13
2091,123,13
2093,158,538
2094,142,13
2096,150,123
2097,101,13
2098,105,13
2099,119,13
2101,118,540
2102,129,1513
2103,126,388
2104,140,291
2105,137,200
2106,132,178
2107,127,169
2108,147,1470
2110,124,23
2111,122,356
2115,134,165
2119,132,374
2120,149,28
2124,135,126
2125,132,137
2126,156,148
2127,136,419
2128,140,379
2129,127,517
2132,143,8103
2133,139,122
2135,128,220
2137,137,1262
2138,142,1403
2141,164,1872
2142,119,27
2144,164,26
2147,135,1975
2149,136,1656
2150,125,26
2151,156,25
2152,138,26
2153,137,26
2154,127,2005
2155,155,1263
2157,133,141
2158,137,23
2159,138,121
2160,134,418
2162,132,26
2163,125,86
2164,112,19
2166,141,404
2168,145,85
2169,109,17
2170,142,121
2172,113,18
2173,146,123
2174,95,196
2176,120,19
2177,131,270
2179,114,18
2181,103,19
2183,126,310
2185,187,171
2186,140,144
2187,137,709
2188,135,712
2189,160,999
2190,122,1246
2191,128,481
2192,132,23
2193,135,26
2194,148,24
2195,117,3634
2196,104,1101
2197,87,10
2198,120,4768
2199,152,248
2201,141,11
2204,164,91
2206,108,85
2208,136,539
2209,123,694
2210,117,375
2211,146,133
2212,151,804
2213,98,578
2214,126,271
2215,155,276
2216,114,910
2217,110,120
2218,106,849
2219,120,300
2221,109,912
2222,116,342
2223,93,143
2225,154,145
2226,136,103
2227,112,106
2228,131,329
2229,119,263
2230,137,243
2231,128,219
2232,114,227
2233,122,241
2234,164,477
2235,141,288
2236,107,440
2237,137,288
2238,124,129
2239,123,141
2240,120,208
2241,135,126
2242,121,143
2243,131,238
2244,123,106
2246,125,104
2248,106,108
2250,133,143
2252,135,192
2254,132,132
2255,118,145
2256,120,209
2257,176,202
2258,137,125
2259,135,256
2260,134,128
2261,137,175
2262,121,147
2263,116,556
2264,115,271
2265,120,249
2266,141,174
2267,143,129
2268,138,314
2269,133,315
2272,111,16
2273,128,16
2275,152,217
2276,109,15
2277,143,16
2278,122,82
2279,110,115
2282,143,150
2285,138,17
2286,126,17
2288,129,16
2289,133,17
2291,148,16
2292,107,17
2293,118,139
2294,102,260
2295,132,89
2296,126,85
2297,127,118
2298,136,185
2299,119,124
2300,138,90
2301,137,120
2302,112,124
2307,111,119
2308,141,19
2309,140,558
2310,111,18
2311,128,18
2312,121,4350
2313,145,1874
2315,130,5378
2317,128,178
2321,149,166
2325,132,1554
2326,102,604
2327,128,2299
2328,121,3791
2329,165,174
2332,127,64
2336,145,249
2337,128,121
2338,118,13
2340,141,186
2341,107,71
2342,100,13
2343,132,129
2345,136,215
2346,118,159
2347,119,184
2348,114,1154
2352,146,508
2357,163,214
2358,109,473
2359,107,204
2361,112,114
2362,118,34
2366,118,124
2367,112,244
2369,118,158
2370,134,854
2372,131,581
2379,134,327
2383,143,431
2386,122,623
2387,113,410
2388,130,249
2392,132,480
2393,134,152
2394,135,141
2395,136,110
2396,143,107
2397,135,167
2398,137,187
2399,116,231
2400,140,211
2401,143,149
2402,132,140
2408,132,321
2409,124,22
2410,140,23
2411,152,552
2412,139,22
2413,137,23
2414,137,751
2415,142,24
2416,120,23
2417,136,24
2418,131,151
2419,134,21
2420,140,24
2421,129,148
2422,113,405
2423,120,259
2424,136,147
2425,144,231
2427,135,333
2428,129,347
2429,137,223
2430,124,299
2433,101,200
2434,133,62
2435,114,62
2436,111,14
2437,109,13
2438,131,13
2439,116,90
2440,110,89
2443,108,13
2444,129,88
2446,108,207
2447,135,15
2448,131,86
2449,137,84
2450,137,354
2451,133,196
2452,120,366
2453,118,87
2454,120,124
2455,137,221
2457,129,119
2459,134,86
2460,135,88
2461,118,215
2462,120,86
2463,137,369
2464,114,119
2469,131,85
2470,143,177
2471,146,187
2472,156,533
2473,147,863
2474,153,172
2475,155,126
2476,160,123
2477,157,173
2478,151,227
2479,137,175
2480,158,172
2481,147,259
2482,123,125
2483,135,127
2484,152,189
2485,149,311
2486,129,283
2487,134,309
2488,133,272
2489,144,260
2490,166,124
2491,149,125
2492,133,126
2493,142,262
2494,129,186
2495,152,259
2496,144,102
2497,131,143
2498,152,168
2499,132,178
2500,141,337
2501,133,308
2502,145,267
2503,145,360
2504,140,339
2505,146,222
2506,142,397
2507,141,372
2508,149,281
2509,158,309
2510,142,76
2511,123,299
2512,132,293
2513,105,337
2514,132,452
2515,145,257
2516,148,243
2517,115,3628
2519,144,17
2520,127,17
2521,117,1005
2522,150,443
2523,135,450
2525,122,1070
2527,105,32
2528,131,110
2531,120,654
2532,133,122
2533,103,39
2534,141,129
2535,133,218
2536,123,257
2537,121,546
2538,109,6557
2539,160,17
2540,139,6198
2541,108,349
2542,129,19
2543,121,5642
2544,122,244
2545,137,2091
2546,130,23
2548,132,22
2549,129,316
2550,140,1169
2551,133,323
2552,143,798
2553,124,117
2554,123,19
2555,149,827
2556,143,24
2557,130,18
2558,121,85
2559,103,110
2560,109,12
2561,127,13
